school_name,number_applicants,acceptance_rate,sat_quartile_range,act_quartile_range,sat_lower_quartile,sat_upper_quartile
Humboldt State University,16335,0.909,980-1190,17-25,980.0,1190.0
Utah State,15276,0.91,1050-1310,21-28,1050.0,1310.0
Iowa State University,18246,0.9209999999999999,1100-1340,22-28,1100.0,1340.0
Washington College,2225,0.924,1090-1300,20-29,1090.0,1300.0
University of Montana,6182,0.9259999999999999,1060-1270,21-26,1060.0,1270.0
Samford University,3912,0.929,1070-1250,23-29,1070.0,1250.0
University of Kentucky,19324,0.945,1080-1300,23-29,1080.0,1300.0
University of Toledo,10228,0.951,1000-1240,20-26,1000.0,1240.0
Portland State,7821,0.961,1010-1230,18-25,1010.0,1230.0
Queens University of Charlotte,2319,0.9620000000000001,1040-1240,21-27,1040.0,1240.0
Western Kentucky,8245,0.973,990-1220,19-27,990.0,1220.0
